sample,stage,network,output,psnr_db,ssim
1,phase1,UNet,phase_120,51.30760276249427,0.9926837086677551
1,phase1,UNet,phase_240,51.029751515820365,0.9923163652420044
2,phase1,UNet,phase_120,48.94959540265205,0.9884814620018005
2,phase1,UNet,phase_240,48.56601878464115,0.9877962470054626
3,phase1,UNet,phase_120,48.49448710442856,0.987449049949646
3,phase1,UNet,phase_240,48.1908210613326,0.9866634011268616
1,phase2,MambaUNet1,orientation_0_phase_0,28.47247019288861,0.8098059892654419
1,phase2,MambaUNet1,orientation_90_phase_0,26.911860429650897,0.7647953629493713
2,phase2,MambaUNet1,orientation_0_phase_0,27.434971353907997,0.7858904004096985
2,phase2,MambaUNet1,orientation_90_phase_0,27.11642406745757,0.7639095187187195
3,phase2,MambaUNet1,orientation_0_phase_0,30.273167789340153,0.8416405916213989
3,phase2,MambaUNet1,orientation_90_phase_0,31.818562496035984,0.8230077028274536
1,phase2,MambaUNet2,orientation_0_phase_120,27.934535008071144,0.8049140572547913
1,phase2,MambaUNet2,orientation_90_phase_120,28.77695275031662,0.7946206331253052
2,phase2,MambaUNet2,orientation_0_phase_120,27.815845746041315,0.7912702560424805
2,phase2,MambaUNet2,orientation_90_phase_120,28.922221822215036,0.8093301653862
3,phase2,MambaUNet2,orientation_0_phase_120,31.225451924529523,0.8551879525184631
3,phase2,MambaUNet2,orientation_90_phase_120,31.94797072871789,0.8414381146430969
1,phase2,MambaUNet3,orientation_0_phase_240,30.35054954055667,0.8503895401954651
1,phase2,MambaUNet3,orientation_90_phase_240,31.561314196976653,0.8369450569152832
2,phase2,MambaUNet3,orientation_0_phase_240,30.032867579727565,0.831939160823822
2,phase2,MambaUNet3,orientation_90_phase_240,32.1719585701347,0.854154109954834
3,phase2,MambaUNet3,orientation_0_phase_240,31.08819359981087,0.8422820568084717
3,phase2,MambaUNet3,orientation_90_phase_240,30.406741829044087,0.8120195865631104
